id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:tree canopy symptoms,field:optional - did the tree have heat damage,field:percent canopy affected (%),field:number of additional unhealthy trees (of same species) in area (within sight),field:percent of trees (of same species) within sight that are unhealthy,"field:other factors - are there signs or symptoms of insect, diseases, or other damage?",field:optional - what 'other factors' were observed?,field:optional - tree size,field:optional - site type,field:optional - site/location description,field:optional - site/area disturbance level,field:optional - site hydrology,field:optional - access to water,field:optional - slope position,field:optional - were there any other unhealthy plant species on the site?,field:optional - timing of symptoms estimate,field:optional - estimated time spent to make this observation (# of minutes),field:optional - can we follow up with you?,field:notes
70820202,Mon Mar 08 2021 08:22:21 GMT-0800 (PST),2021-03-08,2021-03-08 08:22:21 UTC,UTC,3889151,david_morgan,2021-03-08 16:24:49 UTC,2021-03-13 03:28:30 UTC,research,,https://www.inaturalist.org/observations/70820202,https://static.inaturalist.org/photos/115201679/medium.jpg,,"","",1,0,false,3,"Ridgefield, WA, US",45.8489773315,-122.7544119642,268,,,,268,,open,false,,,,Clark,Washington,United States,Washington,Clark,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Old Dead Top (needles already gone),,30-59% of the canopy is unhealthy,1,,No,No selection,Small,Rural,Inside a forest canopy,"None - natural forest, far from development",Seasonally flooded area,,Area is flat (e.g. field),,,,Yes,""
70832153,Sun Mar 07 2021 15:18:40 GMT-0800 (PST),2021-03-07,2021-03-07 23:18:40 UTC,Pacific Time (US & Canada),1494532,angelique_k,2021-03-08 19:58:17 UTC,2021-04-18 05:43:34 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/70832153,https://inaturalist-open-data.s3.amazonaws.com/photos/115223849/medium.jpg,,"","",1,0,false,3,"Wagonwood Pl, Victoria, BC, CA",48.4939340004,-123.3704023944,39,,,,39,,open,false,,,"Saanich, British Columbia",Capital,,Canada,British Columbia,Capital,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",0,,Not sure,No selection,Very Large,Urban,Urban yard or open park grounds,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",No Selection,,No selection,,,,Yes,"Eastern Red Cedar very unhealthy, Right next to Conk-infested Douglas Fir. Western Red Cedar a few steps away."
70855690,2021-03-08,2021-03-08,,Central Time (US & Canada),3898930,michael_james_burkhow,2021-03-09 03:31:58 UTC,2021-03-13 06:14:55 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/70855690,https://inaturalist-open-data.s3.amazonaws.com/photos/115266308/medium.jpeg,,"",Healthy to slightly stressed WRC near parking lot  Many dead/dying trees all around. ,1,0,false,,Magnason park,47.680208,-122.256595,,,,,,,open,false,,,,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",More than 10,,Not sure,No selection,Large,Urban,Urban yard or open park grounds,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",Other,,Area is flat (e.g. field),,,,Yes,This tree seemed healthy apart from a heavy cone crop.
70856332,2021-03-08,2021-03-08,,Central Time (US & Canada),3898930,michael_james_burkhow,2021-03-09 03:45:03 UTC,2021-03-13 06:10:57 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/70856332,https://inaturalist-open-data.s3.amazonaws.com/photos/115267407/medium.jpeg,,"","Large WRC in a state of decline noted that it seemed to be ""pitching out"" so I suspect beetle infestation?",1,0,false,,Magnason park,47.680208,-122.256595,,,,,,,open,false,,,,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Old Dead Top (needles already gone),,60-99% of the canopy is unhealthy,More than 10,,"Yes (please elaborate in Notes, add Picture if possible)","Insect damage on trunk (holes, frass, galleries, etc.)",Very Large,Urban,Urban yard or open park grounds,"Medium (moderately used trails, etc)",Other,,Area is flat (e.g. field),,,,Yes,This one was interesting. At first glance I thought it was a grouping of WRC but when I explored beneath it I realized that it was a single trunk. Someone had nailed boards into the trunk to make it easier to climb. The site was upland but not well drained. there was standing water all over the lawn area which makes me wonder if it a dense non-porous soil type.
70858087,Mon Mar 08 2021 14:23:51 GMT-0800 (PST),2021-03-08,2021-03-08 20:23:51 UTC,Central Time (US & Canada),3898930,michael_james_burkhow,2021-03-09 04:23:58 UTC,2021-03-13 06:03:59 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/70858087,https://inaturalist-open-data.s3.amazonaws.com/photos/115270172/medium.jpg,,"",Healthy WRC.  ,1,0,false,3,"NE 58th St, Seattle, WA, US",47.67082,-122.307245,64,,,,64,,open,false,,,,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",4-6,,No,No selection,Large,Urban,Urban yard or open park grounds,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",No Selection,,No selection,,,,Yes,""
71137792,2021-03-12 10:52:38 AM PST,2021-03-12,2021-03-12 18:52:38 UTC,Pacific Time (US & Canada),4018719,rthomas10,2021-03-13 16:32:59 UTC,2021-03-15 04:22:44 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/71137792,https://inaturalist-open-data.s3.amazonaws.com/photos/115770808/medium.jpeg,,"",,1,0,false,2,"Greater Vancouver, CA-BC, CA",49.0173482,-122.6633489,,,,,,,open,false,gps,gps,,Greater Vancouver,,Canada,British Columbia,Greater Vancouver,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Branch Dieback or 'Flagging',,1-29% of the canopy is unhealthy,2-3,,Not sure,No selection,Large,Suburban,Urban yard or open park grounds,"Medium (moderately used trails, etc)","Wetland, lots of water",,Area is flat (e.g. field),,,,No Selection,""
71158602,2021-03-13 12:13:54 PM PST,2021-03-13,2021-03-13 12:13:54 UTC,UTC,2823934,raduscurtescu,2021-03-13 21:02:25 UTC,2021-04-18 05:43:19 UTC,research,,https://www.inaturalist.org/observations/71158602,https://static.inaturalist.org/photos/115808687/medium.jpeg,,"",,1,0,false,2,"North Vancouver, BC V7L 1C4, Canada",49.3108290444,-123.0735740438,23,,,,23,,open,false,gps,gps,,Greater Vancouver,,Canada,British Columbia,Greater Vancouver,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",0,,Not sure,,Large,,,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",,,Area is flat (e.g. field),,,,No preference,""
71162633,Sat Mar 13 2021 13:28:14 GMT-0800 (PST),2021-03-13,2021-03-13 13:28:14 UTC,UTC,2292352,rondalarsonkramer,2021-03-13 21:47:02 UTC,2021-03-16 04:14:51 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/71162633,https://inaturalist-open-data.s3.amazonaws.com/photos/115817336/medium.jpg,,"","",1,0,false,3,"Eastside St SE, Olympia, WA, US",47.0315861667,-122.8867833333,65,,,,65,,open,false,,,,Thurston,Washington,United States,Washington,Thurston,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",2-3,,No,No selection,Medium,Urban,Roadside,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",Upland or well drained,,Middle of a slope,,,,Yes,""
71167547,Sat Mar 13 2021 14:45:11 GMT-0800 (PST),2021-03-13,2021-03-13 14:45:11 UTC,UTC,2292352,rondalarsonkramer,2021-03-13 22:46:59 UTC,2021-08-30 01:18:19 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/71167547,https://inaturalist-open-data.s3.amazonaws.com/photos/115946695/medium.jpg,,"","",1,0,false,3,"Sheldon Rd SE, Olympia, WA, US",46.9485358336,-122.8650806566,8,,,,8,,open,false,,,,Thurston,Washington,United States,Washington,Thurston,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Tree is dead,,tree is dead,2-3,,Not sure,No selection,Medium,Rural,Roadside,"Low - fairly natural, not much development",Upland or well drained,,Middle of a slope,,,,Yes,""
71169344,Sat Mar 13 2021 14:54:47 GMT-0800 (PST),2021-03-13,2021-03-13 14:54:47 UTC,UTC,2292352,rondalarsonkramer,2021-03-13 23:12:24 UTC,2021-03-19 15:38:22 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/71169344,https://inaturalist-open-data.s3.amazonaws.com/photos/115947080/medium.jpg,,"","",1,0,false,3,"Springer Lake Ln SE, Olympia, WA, US",46.9478133333,-122.8671633333,165,,,,165,,open,false,,,,Thurston,Washington,United States,Washington,Thurston,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Thinning Canopy,,1-29% of the canopy is unhealthy,0,,"Yes (please elaborate in Notes, add Picture if possible)","Animal damage (woodpecker/sapsucker holes, bark peeling)",Very Large,Rural,Inside a forest canopy,"Low - fairly natural, not much development",Upland or well drained,,Top of slope,,,,Yes,"Stripped bark, sapsucker holes"
71178383,Sat Mar 13 2021 10:56:44 GMT-0800 (PST),2021-03-13,2021-03-13 18:56:44 UTC,Pacific Time (US & Canada),3765174,bcrobyn,2021-03-14 01:19:35 UTC,2021-03-14 01:21:48 UTC,needs_id,,https://www.inaturalist.org/observations/71178383,https://static.inaturalist.org/photos/115844336/medium.jpg,,"","",0,0,false,3,"Halfmoon Bay, BC, CA",49.5010216667,-123.82978,10,,,,10,,open,false,,,,Sunshine Coast,,Canada,British Columbia,Sunshine Coast,"",Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",0,,Not sure,No selection,Large,Other,Inside a forest canopy,"None - natural forest, far from development",Upland or well drained,,No selection,,,,Yes,This is in an area called Big Tree Rec Site home to massive ancient Douglas Firs.
71182969,Sat Mar 13 2021 10:53:57 GMT-0800 (PST),2021-03-13,2021-03-13 18:53:57 UTC,Pacific Time (US & Canada),3765174,bcrobyn,2021-03-14 02:27:48 UTC,2021-03-14 02:29:33 UTC,needs_id,,https://www.inaturalist.org/observations/71182969,https://static.inaturalist.org/photos/115852946/medium.jpg,,"","",0,0,false,3,"Halfmoon Bay, BC, CA",49.5017583333,-123.830375,10,,,,10,,open,false,,,,Sunshine Coast,,Canada,British Columbia,Sunshine Coast,"",Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",0,,Not sure,No selection,Large,Other,Inside a forest canopy,"None - natural forest, far from development",Upland or well drained,,No selection,,,,Yes,""
71183091,Sat Mar 13 2021 10:50:30 GMT-0800 (PST),2021-03-13,2021-03-13 18:50:30 UTC,Pacific Time (US & Canada),3765174,bcrobyn,2021-03-14 02:30:33 UTC,2021-03-14 02:32:15 UTC,needs_id,,https://www.inaturalist.org/observations/71183091,https://static.inaturalist.org/photos/115853241/medium.jpg,,"","",0,0,false,3,"Halfmoon Bay, BC, CA",49.5021466667,-123.8318633333,10,,,,10,,open,false,,,,Sunshine Coast,,Canada,British Columbia,Sunshine Coast,"",Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",0,,Not sure,No selection,Large,Other,Inside a forest canopy,"None - natural forest, far from development",No Selection,,No selection,,,,No Selection,""
71185996,Sat Mar 13 2021 12:42:33 GMT-0800 (PST),2021-03-13,2021-03-13 20:42:33 UTC,Pacific Time (US & Canada),1494532,angelique_k,2021-03-14 03:06:36 UTC,2021-04-18 05:40:21 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/71185996,https://inaturalist-open-data.s3.amazonaws.com/photos/115857731/medium.jpg,,"","Some sort of insect infestation (Trachykele blondeli?) or combination with woodpecker, maybe? Some reddening spots over whole tree, still mostly healthy. No fungi noted at base. also note large number of wall lizards nearby",1,0,false,3,"Autumnwood Ln, Victoria, BC, CA",48.4927015496,-123.3687003313,123,,,,123,,open,false,,,"Saanich, British Columbia",Capital,,Canada,British Columbia,Capital,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Other (please describe in Notes),,1-29% of the canopy is unhealthy,0,,"Yes (please elaborate in Notes, add Picture if possible)",No selection,Large,Urban,Urban yard or open park grounds,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",Upland or well drained,,Area is flat (e.g. field),,,,Yes,""
71262651,Sun Mar 14 2021 16:55:49 GMT-0700 (PDT),2021-03-14,2021-03-14 23:55:49 UTC,Pacific Time (US & Canada),2417758,ashbarcelona,2021-03-15 00:16:41 UTC,2021-04-18 05:41:27 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/71262651,https://inaturalist-open-data.s3.amazonaws.com/photos/115994479/medium.jpg,,"","",2,0,true,3,"E Sixth St, Moscow, ID, US",46.7302283333,-116.9976583333,4,,,,4,,open,false,,,,Latah,Idaho,United States,Idaho,Latah,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Yellowing Canopy,,1-29% of the canopy is unhealthy,7-10,,"Yes (please elaborate in Notes, add Picture if possible)",,Small,Urban,Urban yard or open park grounds,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",,,,,,,Yes,Base of trunk covered by English ivy
71265935,Sun Mar 14 2021 15:30:55 GMT-0700 (PDT),2021-03-14,2021-03-14 22:30:55 UTC,Pacific Time (US & Canada),3765174,bcrobyn,2021-03-15 01:04:30 UTC,2021-03-15 01:06:03 UTC,needs_id,,https://www.inaturalist.org/observations/71265935,https://static.inaturalist.org/photos/116000927/medium.jpg,,"","",0,0,false,3,"Georgia Dr, Gibsons, BC, CA",49.3939883333,-123.5014883333,65,,,,65,,open,false,,,,Sunshine Coast,,Canada,British Columbia,Sunshine Coast,"",Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",1,,Not sure,No selection,Small,Other,Other,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",No Selection,,Lower slope,,,,Yes,""
71266241,Sun Mar 14 2021 15:25:21 GMT-0700 (PDT),2021-03-14,2021-03-14 22:25:21 UTC,Pacific Time (US & Canada),3765174,bcrobyn,2021-03-15 01:08:05 UTC,2021-03-15 01:10:00 UTC,needs_id,,https://www.inaturalist.org/observations/71266241,https://static.inaturalist.org/photos/116001442/medium.jpg,,"","",0,0,false,3,"Skyline Dr, Gibsons, BC, CA",49.3937033333,-123.5025333333,65,,,,65,,open,false,,,,Sunshine Coast,,Canada,British Columbia,Sunshine Coast,"",Thuja plicata,western redcedar,Plantae,48252,Healthy,,1-29% of the canopy is unhealthy,0,,Not sure,Other (please describe in Notes),Large,Urban,Urban yard or open park grounds,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",Upland or well drained,,Area is flat (e.g. field),,,,Yes,"This is growing in a gravel parking lot - likely the original tree that the parking lot grew around. This is located at the base of a steep hill and while the ground is level where this tree grows, it is steps away from the rocky shore."
71271392,Fri Mar 12 2021 13:24:10 GMT-0800 (PST),2021-03-12,2021-03-12 21:24:10 UTC,Pacific Time (US & Canada),5717,richard_olmstead,2021-03-15 02:22:06 UTC,2021-04-24 17:54:42 UTC,research,CC-BY,https://www.inaturalist.org/observations/71271392,https://static.inaturalist.org/photos/116011888/medium.jpg,,"","",1,0,false,3,"40th Pl NE, Lake Forest Park, WA, US",47.7692916667,-122.2832633333,5,,,,5,,open,false,,,,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Old Dead Top (needles already gone),,tree is dead,4-6,,"Yes (please elaborate in Notes, add Picture if possible)",No selection,Medium (can wrap arms around trunk),Suburban,Inside a forest canopy,"Low - fairly natural, not much development",Upland or well drained,,Top of slope,,,,Yes,Some bark stripped off lower trunk; looks like buck rubbing.  Other smaller dead trees nearby look normal at base
71345061,Mon Mar 15 2021 16:56:24 GMT-0700 (PDT),2021-03-15,2021-03-15 23:56:24 UTC,Pacific Time (US & Canada),3898930,michael_james_burkhow,2021-03-16 04:20:54 UTC,2021-03-16 08:09:25 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/71345061,https://inaturalist-open-data.s3.amazonaws.com/photos/116146267/medium.jpg,,"",Large WRC with a thinning top on the bank of Deep Lake,1,0,false,3,"Nolte State Park, Enumclaw, WA, US",47.2701116667,-121.9392866667,4,,,,4,,open,false,,,,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Thinning Canopy,,60-99% of the canopy is unhealthy,7-10,,"Yes (please elaborate in Notes, add Picture if possible)","Needle disease (dieback, checking, blight, etc.)",Large,Rural,Inside a forest canopy,"Low - fairly natural, not much development",Other,,Other (please describe in Notes),,,,Yes,About 10 feet from water’s edge on Deep Lake. Noticed something strange on the leaves(check photos) this tree has roots extending into the water
71346055,Mon Mar 15 2021 17:12:49 GMT-0700 (PDT),2021-03-15,2021-03-16 00:12:49 UTC,Pacific Time (US & Canada),3765174,bcrobyn,2021-03-16 04:45:24 UTC,2021-03-16 06:25:25 UTC,research,,https://www.inaturalist.org/observations/71346055,https://static.inaturalist.org/photos/116148181/medium.jpg,,"","",1,0,false,3,"Roberts Creek, BC, CA",49.4295216667,-123.6400833333,10,,,,10,,open,false,,,,Sunshine Coast,,Canada,British Columbia,Sunshine Coast,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",0,,Not sure,No selection,Large,Other,Inside a forest canopy,"Medium (moderately used trails, etc)",Upland or well drained,,No selection,,,,Yes,""
71346187,Mon Mar 15 2021 16:56:49 GMT-0700 (PDT),2021-03-15,2021-03-15 23:56:49 UTC,Pacific Time (US & Canada),3765174,bcrobyn,2021-03-16 04:49:18 UTC,2021-04-18 05:39:55 UTC,research,,https://www.inaturalist.org/observations/71346187,https://static.inaturalist.org/photos/116148410/medium.jpg,,"","",1,0,false,3,"Roberts Creek, BC, CA",49.4297716667,-123.6401666667,10,,,,10,,open,false,,,,Sunshine Coast,,Canada,British Columbia,Sunshine Coast,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",0,,Not sure,No selection,Large,Other,Inside a forest canopy,"Medium (moderately used trails, etc)",Upland or well drained,,No selection,,,,Yes,""
71347153,Mon Mar 15 2021 16:14:37 GMT-0700 (PDT),2021-03-15,2021-03-15 23:14:37 UTC,Pacific Time (US & Canada),3898930,michael_james_burkhow,2021-03-16 05:22:37 UTC,2021-03-16 06:16:30 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/71347153,https://inaturalist-open-data.s3.amazonaws.com/photos/116150247/medium.jpg,,"",WRC with an unusual growth pattern. Appearing relatively healthy.,1,0,false,3,"Ravensdale, WA, US",47.3164133333,-121.9079666667,4,,,,4,,open,false,,,,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",2-3,,No,Mechanical damage or fire scars,Very Large,Rural,Roadside,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",Upland or well drained,,Area is flat (e.g. field),,,,Yes,Fairly healthy growing near Flaming Geyser SP parking lot. Main trunk was destroyed/broken off and the large canopy consisted of an offshoot that grew below the broken off portion. Must have happened a long time ago!
71363926,Mon Mar 15 2021 17:07:02 GMT-0700 (PDT),2021-03-15,2021-03-16 00:07:02 UTC,Pacific Time (US & Canada),3765174,bcrobyn,2021-03-16 15:01:21 UTC,2021-03-28 01:19:13 UTC,needs_id,,https://www.inaturalist.org/observations/71363926,https://static.inaturalist.org/photos/116179504/medium.jpg,,"","",0,0,false,3,"Sunshine Coast Hwy, Roberts Creek, BC, CA",49.4272033333,-123.63948,10,,,,10,,open,false,,,,Sunshine Coast,,Canada,British Columbia,Sunshine Coast,"",Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",0,,Not sure,No selection,Large,Rural,Inside a forest canopy,"Medium (moderately used trails, etc)",Upland or well drained,,No selection,,,,Yes,""
71383170,2021-02-27 17:08:22,2021-02-27,2021-02-28 01:08:22 UTC,Pacific Time (US & Canada),802464,joshuamorris,2021-03-16 20:48:12 UTC,2021-03-16 21:44:22 UTC,research,CC0,https://www.inaturalist.org/observations/71383170,https://inaturalist-open-data.s3.amazonaws.com/photos/116213357/medium.jpg,,"","",1,0,false,,"Pierce County, US-WA, US",47.210242,-122.469824,9,,,,9,,open,false,,"",,Pierce,Washington,United States,Washington,Pierce,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Old Dead Top (needles already gone),,30-59% of the canopy is unhealthy,0,,Not sure,,,,,,,,,,,,,
71383174,2021-02-27 15:58:31,2021-02-27,2021-02-27 23:58:31 UTC,Pacific Time (US & Canada),802464,joshuamorris,2021-03-16 20:48:14 UTC,2021-04-26 03:10:54 UTC,research,CC0,https://www.inaturalist.org/observations/71383174,https://inaturalist-open-data.s3.amazonaws.com/photos/116213360/medium.jpg,,"","",1,0,false,,"Pierce County, US-WA, US",47.210676,-122.470536,9,,,,9,,open,false,,"",,Pierce,Washington,United States,Washington,Pierce,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Thinning Canopy,,1-29% of the canopy is unhealthy,1,,Not sure,,Small,Urban,Urban yard or open park grounds,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",,,,,,,Yes,
71396943,2021-03-16 3:20:01 PM PDT,2021-03-16,2021-03-16 22:20:01 UTC,Pacific Time (US & Canada),2823934,raduscurtescu,2021-03-17 00:55:45 UTC,2021-03-24 17:16:16 UTC,research,,https://www.inaturalist.org/observations/71396943,https://static.inaturalist.org/photos/116237620/medium.jpeg,,"",Moss growth on most of the branches ,1,0,false,2,"Fraser Valley D, BC, Canada",49.1839742,-121.7439143,,,,,,,open,false,,,,Fraser Valley,,Canada,British Columbia,Fraser Valley,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",0,,Not sure,,No selection,,,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",,,Lower slope,,,,,""
71501927,Tue Mar 16 2021 08:01:51 GMT-0700 (PDT),2021-03-16,2021-03-16 15:01:51 UTC,Pacific Time (US & Canada),500327,jmhulbert,2021-03-18 18:53:01 UTC,2021-03-20 04:16:11 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/71501927,https://inaturalist-open-data.s3.amazonaws.com/photos/116424314/medium.jpg,,"","",1,0,false,3,"Point Defiance Park, Tacoma, WA, US",47.3178416667,-122.5401616667,5,,,,5,,open,false,,,,Pierce,Washington,United States,Washington,Pierce,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Thinning Canopy,,30-59% of the canopy is unhealthy,0,,No,No selection,Medium,Urban,Forest edge,"Low - fairly natural, not much development",Upland or well drained,,Top of slope,,,,No Selection,""
71508181,2021-03-18 11:58:22 AM PDT,2021-03-18,2021-03-18 18:58:22 UTC,Pacific Time (US & Canada),2823934,raduscurtescu,2021-03-18 20:37:41 UTC,2021-03-24 17:16:08 UTC,research,,https://www.inaturalist.org/observations/71508181,https://static.inaturalist.org/photos/116435586/medium.jpeg,,"",,1,0,false,2,"Burnaby, BC V5A 2X9, Canada",49.2836154,-122.9375808,,,,,,,open,false,gps,gps,,Greater Vancouver,,Canada,British Columbia,Greater Vancouver,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",0,,Not sure,,Large,,,"None - natural forest, far from development",,,Top of slope,,,,,""
71552775,2016/08/22 11:08 PM PDT,2016-08-22,2016-08-23 06:08:00 UTC,Pacific Time (US & Canada),2933966,fluffyinca,2021-03-19 15:23:58 UTC,2021-03-30 01:44:48 UTC,research,CC-BY,https://www.inaturalist.org/observations/71552775,https://inaturalist-open-data.s3.amazonaws.com/photos/116510183/medium.jpeg,,"","",1,0,false,,"Jefferson County, WA, USA",47.956676106,-122.8009181105,57,,,,57,,open,false,,,,Jefferson,Washington,United States,Washington,Jefferson,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",0,,Not sure,,,,,,,,,,,,,
71555235,2021-03-18,2021-03-18,,Edinburgh,4120147,jdunster,2021-03-19 16:10:49 UTC,2021-05-14 03:45:35 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/71555235,https://inaturalist-open-data.s3.amazonaws.com/photos/128764168/medium.jpg,,"",Dead redcedars are increasingly common throughout Vancouver Island,0,0,false,,Havewood Park,,,,,,,,,,false,,,,,,,,,dead redcedars,,,,,Tree is dead,,tree is dead,More than 10,,No,No selection,No selection,Suburban,Inside a forest canopy,"None - natural forest, far from development",Upland or well drained,,Middle of a slope,,,,Yes,Common regardless of slope aspect
71565664,2021-03-02 12:44:38,2021-03-02,2021-03-02 20:44:38 UTC,Pacific Time (US & Canada),802464,joshuamorris,2021-03-19 19:22:02 UTC,2021-03-20 00:33:42 UTC,research,CC0,https://www.inaturalist.org/observations/71565664,https://inaturalist-open-data.s3.amazonaws.com/photos/116535990/medium.jpg,,"","",1,0,false,,"King County, US-WA, US",47.620767,-122.294641,1,,,,1,,open,false,,"",,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",0,,No,,Medium,Urban,Urban yard or open park grounds,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",,,,,,,,
71612477,Sun Mar 14 2021 14:00:44 GMT-0700 (PDT),2021-03-14,2021-03-14 21:00:44 UTC,Pacific Time (US & Canada),2853295,joelruss,2021-03-20 12:35:27 UTC,2021-03-21 15:55:03 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/71612477,https://inaturalist-open-data.s3.amazonaws.com/photos/116619998/medium.jpg,,"","",1,0,false,3,"Bowen Rd, Nanaimo, BC, CA",49.1764216667,-123.9665833333,65,,,,65,,open,false,,,,Nanaimo,,Canada,British Columbia,Nanaimo,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",4-6,,No,No selection,Very Large,Urban,Forest edge,"Low - fairly natural, not much development",Upland or well drained,,Riverbank,,,,Yes,""
71666134,2021-03-20 4:04:40 PM PDT,2021-03-20,2021-03-20 23:04:40 UTC,Pacific Time (US & Canada),2823934,raduscurtescu,2021-03-21 00:22:54 UTC,2021-03-24 17:15:53 UTC,research,,https://www.inaturalist.org/observations/71666134,https://static.inaturalist.org/photos/116712932/medium.jpeg,,"",,1,0,false,2,"Vancouver, BC V5K 0A1, Canada",49.2910451997,-123.0413693997,,,,,,,open,false,gps,gps,,Greater Vancouver,,Canada,British Columbia,Greater Vancouver,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Old Dead Top (needles already gone),,30-59% of the canopy is unhealthy,0,,Not sure,No selection,Small,Urban,Urban yard or open park grounds,"Medium (moderately used trails, etc)",Upland or well drained,,Top of slope,,,,No preference,""
